Giorno,Abruzzo,Basilicata,Calabria,Campania,Emilia-Romagna,Friuli Venezia Giulia,Lazio,Liguria,Lombardia,Marche,Molise,P.A. Bolzano,P.A. Trento,Piemonte,Puglia,Sardegna,Sicilia,Toscana,Umbria,Valle d'Aosta,Veneto,"Totale Bianche","Totale Gialle","Totale Arancioni","Totale Rosse",mappa
2021-02-05,Gialla,Gialla,Gialla,Gialla,Gialla,Gialla,Gialla,Gialla,Gialla,Gialla,Gialla,Arancione,Gialla,Gialla,Arancione,Arancione,Arancione,Gialla,Arancione,Gialla,Gialla,0,16,5,0,https://covid-19-zone.tsiotas.com/img/2021-02-01.png
2021-02-06,Gialla,Gialla,Gialla,Gialla,Gialla,Gialla,Gialla,Gialla,Gialla,Gialla,Gialla,Arancione,Gialla,Gialla,Arancione,Arancione,Arancione,Gialla,Arancione,Gialla,Gialla,0,16,5,0,https://covid-19-zone.tsiotas.com/img/2021-02-01.png
2021-02-07,Gialla,Gialla,Gialla,Gialla,Gialla,Gialla,Gialla,Gialla,Gialla,Gialla,Gialla,Arancione,Gialla,Gialla,Arancione,Arancione,Arancione,Gialla,Arancione,Gialla,Gialla,0,16,5,0,https://covid-19-zone.tsiotas.com/img/2021-02-01.png
2021-02-08,Gialla,Gialla,Gialla,Gialla,Gialla,Gialla,Gialla,Gialla,Gialla,Gialla,Gialla,Arancione,Gialla,Gialla,Arancione,Gialla,Arancione,Gialla,Arancione,Gialla,Gialla,0,17,4,0,https://covid-19-zone.tsiotas.com/img/2021-02-08.png
2021-02-09,Gialla,Gialla,Gialla,Gialla,Gialla,Gialla,Gialla,Gialla,Gialla,Gialla,Gialla,Arancione,Gialla,Gialla,Arancione,Gialla,Arancione,Gialla,Arancione,Gialla,Gialla,0,17,4,0,https://covid-19-zone.tsiotas.com/img/2021-02-08.png
2021-02-10,Gialla,Gialla,Gialla,Gialla,Gialla,Gialla,Gialla,Gialla,Gialla,Gialla,Gialla,Arancione,Gialla,Gialla,Arancione,Gialla,Arancione,Gialla,Arancione,Gialla,Gialla,0,17,4,0,https://covid-19-zone.tsiotas.com/img/2021-02-08.png
2021-02-11,Gialla,Gialla,Gialla,Gialla,Gialla,Gialla,Gialla,Gialla,Gialla,Gialla,Gialla,Arancione,Gialla,Gialla,Gialla,Gialla,Arancione,Gialla,Arancione,Gialla,Gialla,0,18,3,0,https://covid-19-zone.tsiotas.com/img/2021-02-11.png
2021-02-12,Gialla,Gialla,Gialla,Gialla,Gialla,Gialla,Gialla,Gialla,Gialla,Gialla,Gialla,Arancione,Gialla,Gialla,Gialla,Gialla,Arancione,Gialla,Arancione,Gialla,Gialla,0,18,3,0,https://covid-19-zone.tsiotas.com/img/2021-02-11.png
2021-02-13,Gialla,Gialla,Gialla,Gialla,Gialla,Gialla,Gialla,Gialla,Gialla,Gialla,Gialla,Arancione,Gialla,Gialla,Gialla,Gialla,Arancione,Gialla,Arancione,Gialla,Gialla,0,18,3,0,https://covid-19-zone.tsiotas.com/img/2021-02-11.png
2021-02-14,Arancione,Gialla,Gialla,Gialla,Gialla,Gialla,Gialla,Arancione,Gialla,Gialla,Gialla,Arancione,Arancione,Gialla,Gialla,Gialla,Arancione,Arancione,Arancione,Gialla,Gialla,0,14,7,0,https://covid-19-zone.tsiotas.com/img/2021-02-14.png
2021-02-15,Arancione,Gialla,Gialla,Gialla,Gialla,Gialla,Gialla,Arancione,Gialla,Gialla,Gialla,Arancione,Arancione,Gialla,Gialla,Gialla,Gialla,Arancione,Arancione,Gialla,Gialla,0,15,6,0,https://covid-19-zone.tsiotas.com/img/2021-02-15.png
2021-02-16,Arancione,Gialla,Gialla,Gialla,Gialla,Gialla,Gialla,Arancione,Gialla,Gialla,Gialla,Arancione,Arancione,Gialla,Gialla,Gialla,Gialla,Arancione,Arancione,Gialla,Gialla,0,15,6,0,https://covid-19-zone.tsiotas.com/img/2021-02-15.png
2021-02-17,Arancione,Gialla,Gialla,Gialla,Gialla,Gialla,Gialla,Arancione,Gialla,Gialla,Gialla,Arancione,Arancione,Gialla,Gialla,Gialla,Gialla,Arancione,Arancione,Gialla,Gialla,0,15,6,0,https://covid-19-zone.tsiotas.com/img/2021-02-15.png
2021-02-18,Arancione,Gialla,Gialla,Gialla,Gialla,Gialla,Gialla,Arancione,Gialla,Gialla,Gialla,Arancione,Arancione,Gialla,Gialla,Gialla,Gialla,Arancione,Arancione,Gialla,Gialla,0,15,6,0,https://covid-19-zone.tsiotas.com/img/2021-02-15.png
2021-02-19,Arancione,Gialla,Gialla,Gialla,Gialla,Gialla,Gialla,Arancione,Gialla,Gialla,Gialla,Arancione,Arancione,Gialla,Gialla,Gialla,Gialla,Arancione,Arancione,Gialla,Gialla,0,15,6,0,https://covid-19-zone.tsiotas.com/img/2021-02-15.png
2021-02-20,Arancione,Gialla,Gialla,Gialla,Gialla,Gialla,Gialla,Arancione,Gialla,Gialla,Gialla,Arancione,Arancione,Gialla,Gialla,Gialla,Gialla,Arancione,Arancione,Gialla,Gialla,0,15,6,0,https://covid-19-zone.tsiotas.com/img/2021-02-15.png
2021-02-21,Arancione,Gialla,Gialla,Arancione,Arancione,Gialla,Gialla,Arancione,Gialla,Gialla,Arancione,Arancione,Arancione,Gialla,Gialla,Gialla,Gialla,Arancione,Arancione,Gialla,Gialla,0,12,9,0,https://covid-19-zone.tsiotas.com/img/2021-02-21.png
2021-02-22,Arancione,Gialla,Gialla,Arancione,Arancione,Gialla,Gialla,Arancione,Gialla,Gialla,Arancione,Arancione,Arancione,Gialla,Gialla,Gialla,Gialla,Arancione,Arancione,Gialla,Gialla,0,12,9,0,https://covid-19-zone.tsiotas.com/img/2021-02-21.png
2021-02-23,Arancione,Gialla,Gialla,Arancione,Arancione,Gialla,Gialla,Arancione,Gialla,Gialla,Arancione,Arancione,Arancione,Gialla,Gialla,Gialla,Gialla,Arancione,Arancione,Gialla,Gialla,0,12,9,0,https://covid-19-zone.tsiotas.com/img/2021-02-21.png
2021-02-24,Arancione,Gialla,Gialla,Arancione,Arancione,Gialla,Gialla,Arancione,Gialla,Gialla,Arancione,Arancione,Arancione,Gialla,Gialla,Gialla,Gialla,Arancione,Arancione,Gialla,Gialla,0,12,9,0,https://covid-19-zone.tsiotas.com/img/2021-02-21.png
2021-02-25,Arancione,Gialla,Gialla,Arancione,Arancione,Gialla,Gialla,Arancione,Gialla,Gialla,Arancione,Arancione,Arancione,Gialla,Gialla,Gialla,Gialla,Arancione,Arancione,Gialla,Gialla,0,12,9,0,https://covid-19-zone.tsiotas.com/img/2021-02-21.png
2021-02-26,Arancione,Gialla,Gialla,Arancione,Arancione,Gialla,Gialla,Arancione,Gialla,Gialla,Arancione,Arancione,Arancione,Gialla,Gialla,Gialla,Gialla,Arancione,Arancione,Gialla,Gialla,0,12,9,0,https://covid-19-zone.tsiotas.com/img/2021-02-21.png
2021-02-27,Arancione,Gialla,Gialla,Arancione,Arancione,Gialla,Gialla,Arancione,Gialla,Gialla,Arancione,Arancione,Arancione,Gialla,Gialla,Gialla,Gialla,Arancione,Arancione,Gialla,Gialla,0,12,9,0,https://covid-19-zone.tsiotas.com/img/2021-02-21.png
2021-02-28,Arancione,Gialla,Gialla,Arancione,Arancione,Gialla,Gialla,Arancione,Gialla,Gialla,Arancione,Arancione,Arancione,Gialla,Gialla,Gialla,Gialla,Arancione,Arancione,Gialla,Gialla,0,12,9,0,https://covid-19-zone.tsiotas.com/img/2021-02-21.png
2021-03-01,Arancione,Rossa,Gialla,Arancione,Arancione,Gialla,Gialla,Gialla,Arancione,Arancione,Rossa,Arancione,Arancione,Arancione,Gialla,Bianca,Gialla,Arancione,Arancione,Gialla,Gialla,1,8,10,2,https://covid-19-zone.tsiotas.com/img/2021-03-01.png
2021-03-02,Arancione,Rossa,Gialla,Arancione,Arancione,Gialla,Gialla,Gialla,Arancione,Arancione,Rossa,Arancione,Arancione,Arancione,Gialla,Bianca,Gialla,Arancione,Arancione,Gialla,Gialla,1,8,10,2,https://covid-19-zone.tsiotas.com/img/2021-03-01.png
2021-03-03,Arancione,Rossa,Gialla,Arancione,Arancione,Gialla,Gialla,Gialla,Arancione,Arancione,Rossa,Arancione,Arancione,Arancione,Gialla,Bianca,Gialla,Arancione,Arancione,Gialla,Gialla,1,8,10,2,https://covid-19-zone.tsiotas.com/img/2021-03-01.png
2021-03-04,Arancione,Rossa,Gialla,Arancione,Arancione,Gialla,Gialla,Gialla,Arancione,Arancione,Rossa,Arancione,Arancione,Arancione,Gialla,Bianca,Gialla,Arancione,Arancione,Gialla,Gialla,1,8,10,2,https://covid-19-zone.tsiotas.com/img/2021-03-01.png
2021-03-05,Arancione,Rossa,Gialla,Arancione,Arancione,Gialla,Gialla,Gialla,Arancione,Arancione,Rossa,Arancione,Arancione,Arancione,Gialla,Bianca,Gialla,Arancione,Arancione,Gialla,Gialla,1,8,10,2,https://covid-19-zone.tsiotas.com/img/2021-03-01.png
2021-03-06,Arancione,Rossa,Gialla,Arancione,Arancione,Gialla,Gialla,Gialla,Arancione,Arancione,Rossa,Arancione,Arancione,Arancione,Gialla,Bianca,Gialla,Arancione,Arancione,Gialla,Gialla,1,8,10,2,https://covid-19-zone.tsiotas.com/img/2021-03-01.png
2021-03-07,Arancione,Rossa,Gialla,Arancione,Arancione,Gialla,Gialla,Gialla,Arancione,Arancione,Rossa,Arancione,Arancione,Arancione,Gialla,Bianca,Gialla,Arancione,Arancione,Gialla,Gialla,1,8,10,2,https://covid-19-zone.tsiotas.com/img/2021-03-01.png
2021-03-08,Arancione,Rossa,Gialla,Rossa,Arancione,Arancione,Gialla,Gialla,Arancione,Arancione,Rossa,Arancione,Arancione,Arancione,Gialla,Bianca,Gialla,Arancione,Arancione,Gialla,Arancione,1,6,11,3,https://covid-19-zone.tsiotas.com/img/2021-03-08.png
2021-03-09,Arancione,Rossa,Gialla,Rossa,Arancione,Arancione,Gialla,Gialla,Arancione,Arancione,Rossa,Arancione,Arancione,Arancione,Gialla,Bianca,Gialla,Arancione,Arancione,Gialla,Arancione,1,6,11,3,https://covid-19-zone.tsiotas.com/img/2021-03-08.png
2021-03-10,Arancione,Rossa,Gialla,Rossa,Arancione,Arancione,Gialla,Gialla,Arancione,Arancione,Rossa,Arancione,Arancione,Arancione,Gialla,Bianca,Gialla,Arancione,Arancione,Gialla,Arancione,1,6,11,3,https://covid-19-zone.tsiotas.com/img/2021-03-08.png
2021-03-11,Arancione,Rossa,Gialla,Rossa,Arancione,Arancione,Gialla,Gialla,Arancione,Arancione,Rossa,Arancione,Arancione,Arancione,Gialla,Bianca,Gialla,Arancione,Arancione,Gialla,Arancione,1,6,11,3,https://covid-19-zone.tsiotas.com/img/2021-03-08.png
2021-03-12,Arancione,Rossa,Gialla,Rossa,Arancione,Arancione,Gialla,Gialla,Arancione,Arancione,Rossa,Arancione,Arancione,Arancione,Gialla,Bianca,Gialla,Arancione,Arancione,Gialla,Arancione,1,6,11,3,https://covid-19-zone.tsiotas.com/img/2021-03-08.png
2021-03-13,Arancione,Rossa,Gialla,Rossa,Arancione,Arancione,Gialla,Gialla,Arancione,Arancione,Rossa,Arancione,Arancione,Arancione,Gialla,Bianca,Gialla,Arancione,Arancione,Gialla,Arancione,1,6,11,3,https://covid-19-zone.tsiotas.com/img/2021-03-08.png
2021-03-14,Arancione,Rossa,Gialla,Rossa,Arancione,Arancione,Gialla,Gialla,Arancione,Arancione,Rossa,Arancione,Arancione,Arancione,Gialla,Bianca,Gialla,Arancione,Arancione,Gialla,Arancione,1,6,11,3,https://covid-19-zone.tsiotas.com/img/2021-03-08.png
2021-03-15,Arancione,Rossa,Arancione,Rossa,Rossa,Rossa,Rossa,Arancione,Rossa,Rossa,Rossa,Arancione,Rossa,Rossa,Rossa,Bianca,Arancione,Arancione,Arancione,Arancione,Rossa,1,0,8,12,https://covid-19-zone.tsiotas.com/img/2021-03-15.png
2021-03-16,Arancione,Arancione,Arancione,Rossa,Rossa,Rossa,Rossa,Arancione,Rossa,Rossa,Rossa,Arancione,Rossa,Rossa,Rossa,Bianca,Arancione,Arancione,Arancione,Arancione,Rossa,1,0,9,11,https://covid-19-zone.tsiotas.com/img/2021-03-16.png
2021-03-17,Arancione,Arancione,Arancione,Rossa,Rossa,Rossa,Rossa,Arancione,Rossa,Rossa,Rossa,Arancione,Rossa,Rossa,Rossa,Bianca,Arancione,Arancione,Arancione,Arancione,Rossa,1,0,9,11,https://covid-19-zone.tsiotas.com/img/2021-03-16.png
2021-03-18,Arancione,Arancione,Arancione,Rossa,Rossa,Rossa,Rossa,Arancione,Rossa,Rossa,Rossa,Arancione,Rossa,Rossa,Rossa,Bianca,Arancione,Arancione,Arancione,Arancione,Rossa,1,0,9,11,https://covid-19-zone.tsiotas.com/img/2021-03-16.png
2021-03-19,Arancione,Arancione,Arancione,Rossa,Rossa,Rossa,Rossa,Arancione,Rossa,Rossa,Rossa,Arancione,Rossa,Rossa,Rossa,Bianca,Arancione,Arancione,Arancione,Arancione,Rossa,1,0,9,11,https://covid-19-zone.tsiotas.com/img/2021-03-16.png
2021-03-20,Arancione,Arancione,Arancione,Rossa,Rossa,Rossa,Rossa,Arancione,Rossa,Rossa,Rossa,Arancione,Rossa,Rossa,Rossa,Bianca,Arancione,Arancione,Arancione,Arancione,Rossa,1,0,9,11,https://covid-19-zone.tsiotas.com/img/2021-03-16.png
2021-03-21,Arancione,Arancione,Arancione,Rossa,Rossa,Rossa,Rossa,Arancione,Rossa,Rossa,Rossa,Arancione,Rossa,Rossa,Rossa,Bianca,Arancione,Arancione,Arancione,Arancione,Rossa,1,0,9,11,https://covid-19-zone.tsiotas.com/img/2021-03-16.png
2021-03-22,Arancione,Arancione,Arancione,Rossa,Rossa,Rossa,Rossa,Arancione,Rossa,Rossa,Arancione,Arancione,Rossa,Rossa,Rossa,Arancione,Arancione,Arancione,Arancione,Arancione,Rossa,0,0,11,10,https://covid-19-zone.tsiotas.com/img/2021-03-22.png
2021-03-23,Arancione,Arancione,Arancione,Rossa,Rossa,Rossa,Rossa,Arancione,Rossa,Rossa,Arancione,Arancione,Rossa,Rossa,Rossa,Arancione,Arancione,Arancione,Arancione,Arancione,Rossa,0,0,11,10,https://covid-19-zone.tsiotas.com/img/2021-03-22.png
2021-03-24,Arancione,Arancione,Arancione,Rossa,Rossa,Rossa,Rossa,Arancione,Rossa,Rossa,Arancione,Arancione,Rossa,Rossa,Rossa,Arancione,Arancione,Arancione,Arancione,Arancione,Rossa,0,0,11,10,https://covid-19-zone.tsiotas.com/img/2021-03-22.png
2021-03-25,Arancione,Arancione,Arancione,Rossa,Rossa,Rossa,Rossa,Arancione,Rossa,Rossa,Arancione,Arancione,Rossa,Rossa,Rossa,Arancione,Arancione,Arancione,Arancione,Arancione,Rossa,0,0,11,10,https://covid-19-zone.tsiotas.com/img/2021-03-22.png
2021-03-26,Arancione,Arancione,Arancione,Rossa,Rossa,Rossa,Rossa,Arancione,Rossa,Rossa,Arancione,Arancione,Rossa,Rossa,Rossa,Arancione,Arancione,Arancione,Arancione,Arancione,Rossa,0,0,11,10,https://covid-19-zone.tsiotas.com/img/2021-03-22.png
2021-03-27,Arancione,Arancione,Arancione,Rossa,Rossa,Rossa,Rossa,Arancione,Rossa,Rossa,Arancione,Arancione,Rossa,Rossa,Rossa,Arancione,Arancione,Arancione,Arancione,Arancione,Rossa,0,0,11,10,https://covid-19-zone.tsiotas.com/img/2021-03-22.png
2021-03-28,Arancione,Arancione,Arancione,Rossa,Rossa,Rossa,Rossa,Arancione,Rossa,Rossa,Arancione,Arancione,Rossa,Rossa,Rossa,Arancione,Arancione,Arancione,Arancione,Arancione,Rossa,0,0,11,10,https://covid-19-zone.tsiotas.com/img/2021-03-22.png
2021-03-29,Arancione,Arancione,Rossa,Rossa,Rossa,Rossa,Rossa,Arancione,Rossa,Rossa,Arancione,Arancione,Rossa,Rossa,Rossa,Arancione,Arancione,Rossa,Arancione,Rossa,Rossa,0,0,8,13,https://covid-19-zone.tsiotas.com/img/2021-03-29.png
2021-03-30,Arancione,Arancione,Rossa,Rossa,Rossa,Rossa,Arancione,Arancione,Rossa,Rossa,Arancione,Arancione,Rossa,Rossa,Rossa,Arancione,Arancione,Rossa,Arancione,Rossa,Rossa,0,0,9,12,https://covid-19-zone.tsiotas.com/img/2021-03-30.png
2021-03-31,Arancione,Arancione,Rossa,Rossa,Rossa,Rossa,Arancione,Arancione,Rossa,Rossa,Arancione,Arancione,Rossa,Rossa,Rossa,Arancione,Arancione,Rossa,Arancione,Rossa,Rossa,0,0,9,12,https://covid-19-zone.tsiotas.com/img/2021-03-30.png
2021-04-01,Arancione,Arancione,Rossa,Rossa,Rossa,Rossa,Arancione,Arancione,Rossa,Rossa,Arancione,Arancione,Rossa,Rossa,Rossa,Arancione,Arancione,Rossa,Arancione,Rossa,Rossa,0,0,9,12,https://covid-19-zone.tsiotas.com/img/2021-03-30.png
2021-04-02,Arancione,Arancione,Rossa,Rossa,Rossa,Rossa,Arancione,Arancione,Rossa,Rossa,Arancione,Arancione,Rossa,Rossa,Rossa,Arancione,Arancione,Rossa,Arancione,Rossa,Rossa,0,0,9,12,https://covid-19-zone.tsiotas.com/img/2021-03-30.png
2021-04-03,Rossa,Rossa,Rossa,Rossa,Rossa,Rossa,Rossa,Rossa,Rossa,Rossa,Rossa,Rossa,Rossa,Rossa,Rossa,Rossa,Rossa,Rossa,Rossa,Rossa,Rossa,0,0,0,21,https://covid-19-zone.tsiotas.com/img/2021-04-03.png
2021-04-04,Rossa,Rossa,Rossa,Rossa,Rossa,Rossa,Rossa,Rossa,Rossa,Rossa,Rossa,Rossa,Rossa,Rossa,Rossa,Rossa,Rossa,Rossa,Rossa,Rossa,Rossa,0,0,0,21,https://covid-19-zone.tsiotas.com/img/2021-04-03.png
2021-04-05,Rossa,Rossa,Rossa,Rossa,Rossa,Rossa,Rossa,Rossa,Rossa,Rossa,Rossa,Rossa,Rossa,Rossa,Rossa,Rossa,Rossa,Rossa,Rossa,Rossa,Rossa,0,0,0,21,https://covid-19-zone.tsiotas.com/img/2021-04-03.png
2021-04-06,Arancione,Arancione,Rossa,Rossa,Rossa,Rossa,Arancione,Arancione,Rossa,Arancione,Arancione,Arancione,Arancione,Rossa,Rossa,Arancione,Arancione,Rossa,Arancione,Rossa,Arancione,0,0,12,9,https://covid-19-zone.tsiotas.com/img/2021-04-06.png
2021-04-07,Arancione,Arancione,Rossa,Rossa,Rossa,Rossa,Arancione,Arancione,Rossa,Arancione,Arancione,Arancione,Arancione,Rossa,Rossa,Arancione,Arancione,Rossa,Arancione,Rossa,Arancione,0,0,12,9,https://covid-19-zone.tsiotas.com/img/2021-04-06.png
2021-04-08,Arancione,Arancione,Rossa,Rossa,Rossa,Rossa,Arancione,Arancione,Rossa,Arancione,Arancione,Arancione,Arancione,Rossa,Rossa,Arancione,Arancione,Rossa,Arancione,Rossa,Arancione,0,0,12,9,https://covid-19-zone.tsiotas.com/img/2021-04-06.png
2021-04-09,Arancione,Arancione,Rossa,Rossa,Rossa,Rossa,Arancione,Arancione,Rossa,Arancione,Arancione,Arancione,Arancione,Rossa,Rossa,Arancione,Arancione,Rossa,Arancione,Rossa,Arancione,0,0,12,9,https://covid-19-zone.tsiotas.com/img/2021-04-06.png
2021-04-10,Arancione,Arancione,Rossa,Rossa,Rossa,Rossa,Arancione,Arancione,Rossa,Arancione,Arancione,Arancione,Arancione,Rossa,Rossa,Arancione,Arancione,Rossa,Arancione,Rossa,Arancione,0,0,12,9,https://covid-19-zone.tsiotas.com/img/2021-04-06.png
2021-04-11,Arancione,Arancione,Rossa,Rossa,Rossa,Rossa,Arancione,Arancione,Rossa,Arancione,Arancione,Arancione,Arancione,Rossa,Rossa,Arancione,Arancione,Rossa,Arancione,Rossa,Arancione,0,0,12,9,https://covid-19-zone.tsiotas.com/img/2021-04-06.png
2021-04-12,Arancione,Arancione,Arancione,Rossa,Arancione,Arancione,Arancione,Arancione,Arancione,Arancione,Arancione,Arancione,Arancione,Arancione,Rossa,Rossa,Arancione,Arancione,Arancione,Rossa,Arancione,0,0,17,4,https://covid-19-zone.tsiotas.com/img/2021-04-12.png
2021-04-13,Arancione,Arancione,Arancione,Rossa,Arancione,Arancione,Arancione,Arancione,Arancione,Arancione,Arancione,Arancione,Arancione,Arancione,Rossa,Rossa,Arancione,Arancione,Arancione,Rossa,Arancione,0,0,17,4,https://covid-19-zone.tsiotas.com/img/2021-04-12.png
2021-04-14,Arancione,Arancione,Arancione,Rossa,Arancione,Arancione,Arancione,Arancione,Arancione,Arancione,Arancione,Arancione,Arancione,Arancione,Rossa,Rossa,Arancione,Arancione,Arancione,Rossa,Arancione,0,0,17,4,https://covid-19-zone.tsiotas.com/img/2021-04-12.png
2021-04-15,Arancione,Arancione,Arancione,Rossa,Arancione,Arancione,Arancione,Arancione,Arancione,Arancione,Arancione,Arancione,Arancione,Arancione,Rossa,Rossa,Arancione,Arancione,Arancione,Rossa,Arancione,0,0,17,4,https://covid-19-zone.tsiotas.com/img/2021-04-12.png
2021-04-16,Arancione,Arancione,Arancione,Rossa,Arancione,Arancione,Arancione,Arancione,Arancione,Arancione,Arancione,Arancione,Arancione,Arancione,Rossa,Rossa,Arancione,Arancione,Arancione,Rossa,Arancione,0,0,17,4,https://covid-19-zone.tsiotas.com/img/2021-04-12.png
2021-04-17,Arancione,Arancione,Arancione,Rossa,Arancione,Arancione,Arancione,Arancione,Arancione,Arancione,Arancione,Arancione,Arancione,Arancione,Rossa,Rossa,Arancione,Arancione,Arancione,Rossa,Arancione,0,0,17,4,https://covid-19-zone.tsiotas.com/img/2021-04-12.png
2021-04-18,Arancione,Arancione,Arancione,Rossa,Arancione,Arancione,Arancione,Arancione,Arancione,Arancione,Arancione,Arancione,Arancione,Arancione,Rossa,Rossa,Arancione,Arancione,Arancione,Rossa,Arancione,0,0,17,4,https://covid-19-zone.tsiotas.com/img/2021-04-12.png
2021-04-19,Arancione,Arancione,Arancione,Arancione,Arancione,Arancione,Arancione,Arancione,Arancione,Arancione,Arancione,Arancione,Arancione,Arancione,Rossa,Rossa,Arancione,Arancione,Arancione,Rossa,Arancione,0,0,18,3,https://covid-19-zone.tsiotas.com/img/2021-04-19.png
2021-04-20,Arancione,Arancione,Arancione,Arancione,Arancione,Arancione,Arancione,Arancione,Arancione,Arancione,Arancione,Arancione,Arancione,Arancione,Rossa,Rossa,Arancione,Arancione,Arancione,Rossa,Arancione,0,0,18,3,https://covid-19-zone.tsiotas.com/img/2021-04-19.png
